4-30-2018-7:20:44106,t50,1,8048
113,6B1,8,00DC0009191900D0
159,490,3,90FE7F
222,6B1,8,00DC0009191900D0
238,123,2,ABCD
270,200,1,10
287,600,1,01
318,6B1,8,00DC0009191900D0
335,501,8,048C064C02CE0306
367,490,3,90FE7F
432,6B1,8,00DC0009191900D0
447,123,2,ABCD
463,501,8,048B064802CA0300
512,200,1,10
527,6B1,8,00DC0009191900D0
558,490,3,90FE7F
574,501,8,0498064702CA02FC
638,6B1,8,00DC0009191900D0
669,490,3,90FE7F
702,501,8,0494063C02D002FA
734,6B1,8,00DC0009191900D0
766,200,1,10
798,600,1,01
814,501,8,049F064A02D402FE
846,123,2,ABCD
863,490,3,90FE7F
944,501,8,04A4064402C902FC
958,490,3,90FE7F
1021,200,1,10
1038,123,2,ABCD
1054,6B1,8,00DC0009191900D0
1069,490,3,90FE7F
1150,6B1,8,00DC0009191900D0
1166,490,3,90FE7F
1181,501,8,049E063C02CE02FA
1245,123,2,ABCD
1273,6B1,8,00DC0009191900D0
1289,600,1,01
1305,501,8,04B2064702CB02FA
1368,6B1,8,00DC0009191900D0
1416,501,8,04B0065102D20304
1449,123,2,ABCD
1464,490,3,90FE7F
1512,200,1,10
1545,501,8,04A3064402D60303
1560,490,3,90FE7F
1576,6B1,8,00DC0009191900D0
1641,123,2,ABCD
1657,501,8,04AE063E02CB02FE
1672,6B1,8,00DC0009191900D0
1768,200,1,10
1784,6B1,8,00DC0009191900D0
1849,123,2,ABCD
1864,490,3,90FE7F
1880,6B1,8,00DC0009191900D0
1897,501,8,049C062402D20300
1961,490,3,90FE7F
1992,6B1,8,00DC0009191900D0
2010,200,1,10
2031,501,8,0492063602C90302
2040,123,2,ABCD
2056,490,3,90FE7F
2091,6B1,8,00DC0009191900D0
2136,501,8,04AD063C02CC0304
2168,490,3,90FE7F
2202,6B1,8,00DC0009191900D0
2248,123,2,ABCD
2272,501,8,04A5063702D30302
2287,600,1,01
2303,6B1,8,00DC0009191900D0
2368,490,3,90FE7F
2385,501,8,04AC064102CC02FA
2399,6B1,8,00DC0009191900D0
2447,123,2,ABCD
2464,490,3,90FE7F
2496,501,8,04A4064202CC0303
2511,6B1,8,00DC0009191900D0
2559,490,3,90FE7F
2607,6B1,8,00DC0009191900D0
2623,501,8,04A4063D02D60304
2640,123,2,ABCD
2655,490,3,90FE7F
2720,6B1,8,00DC0009191900D0
2736,501,8,04A4063602D30305
2767,200,1,00
2783,600,1,01
2815,6B1,8,00DC0009191900D0
2848,123,2,ABCD
2863,490,3,90FE7F
2928,6B1,8,00DC0009191900D0
2958,490,3,90FE7F
2975,501,8,04B1063402CB0308
3007,200,1,00
3023,6B1,8,00DC0009191900D0
3039,123,2,ABCD
3055,490,3,90FE7F
3103,501,8,04A0063402D10302
3135,6B1,8,00DC0009191900D0
3173,490,3,90FE7F
3231,501,8,04A0063402D102FF
3247,123,2,ABCD
3262,200,1,00
3294,600,1,01
3342,6B1,8,00DC0009191900D0
3359,490,3,90FE7F
3438,123,2,ABCD
3455,490,3,90FE7F
3518,200,1,00
3551,6B1,8,00DC0009191900D0
3566,490,3,90FE7F
3582,501,8,04AB063402D40306
3646,123,2,ABCD
3663,490,3,90FE7F
3711,501,8,04A2063402CD0300
3771,6B1,8,00DC0009191900D0
3785,600,1,01
3816,501,8,0499063402D00304
3850,123,2,ABCD
3864,6B1,8,00DC0009191900D0
3945,501,8,0492063802D402F9
3960,490,3,90FE7F
4009,200,1,00
4041,123,2,ABCD
4059,490,3,90FE7F
4072,6B1,8,00DC0009191900D0
4153,490,3,90FE7F
4168,6B1,8,00DC0009191900D0
4184,501,8,04A0063102D00308
4251,123,2,ABCD
4264,200,1,00
4286,6B1,8,00DC0009191900D0
4298,600,1,01
4361,490,3,90FE7F
4376,6B1,8,00DC0009191900D0
4424,501,8,04AA062D02D20302
4440,123,2,ABCD
4456,490,3,90FE7F
4488,6B1,8,00DC0009191900D0
4504,200,1,00
4536,501,8,04A0063702D30304
4552,490,3,90FE7F
4584,6B1,8,00DC0009191900D0
4648,123,2,ABCD
4664,490,3,90FE7F
4699,6B1,8,00DC0009191900D0
4760,200,1,00
4776,501,8,049B063602CE0309
4792,600,1,01
4839,123,2,ABCD
4856,490,3,90FE7F
4904,6B1,8,00DC0009191900D0
4952,490,3,90FE7F
4999,6B1,8,00DC0009191900D0
5016,200,1,00
5047,123,2,ABCD
5064,490,3,90FE7F
5111,6B1,8,00DC0009191900D0
5143,501,8,049F063402CB0302
5159,490,3,90FE7F
5207,6B1,8,00DC0009191900D0
5239,123,2,ABCD
5271,200,1,00
5286,600,1,01
5319,6B1,8,00DC0009191900D0
5360,490,3,90FE7F
5382,501,8,04A3062C02D30300
5415,6B1,8,00DC0009191900D0
5446,123,2,ABCD
