4-30-2018-7:20:45109,501,8,0E8A0E9402B502D3
119,6B1,8,00DC0004191900CB
166,600,1,01
181,200,1,4A
230,501,8,0E860E9402BF02DE
246,123,2,ABCD
278,490,3,900000
326,6B1,8,00DC0004191900CB
341,501,8,0E850E9402B702D6
375,490,3,900000
422,200,1,4A
438,6B1,8,00DC0004191900CB
469,501,8,0E820E9402C102E2
534,6B1,8,00DC0004191900CB
582,490,3,900000
646,6B1,8,00DC0004191900CB
662,600,1,01
679,200,1,4A
712,501,8,0E890E8C02B702DE
744,6B1,8,00DC0004191900CB
773,490,3,900000
822,501,8,0E810E9502B702E5
837,123,2,ABCD
852,6B1,8,00DC0004191900CB
869,490,3,900000
917,200,1,4A
948,501,8,0E7D0E9402B602D6
981,490,3,900000
1045,123,2,ABCD
1060,6B1,8,00DC0004191900CB
1077,490,3,900000
1157,6B1,8,00DC0004191900CB
1172,600,1,01
1189,501,8,0E910EA402A802B1
1237,123,2,ABCD
1268,6B1,8,00DC0004191900CB
1300,501,8,0E900E94029A02A6
1364,6B1,8,00DC0004191900CB
1380,490,3,900000
1428,501,8,0E900E95029E02A3
1445,123,2,ABCD
1476,6B1,8,00DC0004191900CB
1540,501,8,0E850E9002A702AA
1572,490,3,900000
1636,123,2,ABCD
1684,501,8,0E880E9002A102AA
1792,490,3,900000
1842,123,2,ABCD
1872,490,3,900000
1889,6B1,8,00DC0004191900CB
1905,501,8,0E890E9002A802B0
1920,200,1,4A
1969,490,3,900000
1984,6B1,8,00DC0004191900CB
2017,501,8,0E880E9402D102FD
2048,123,2,ABCD
2080,490,3,900000
2096,6B1,8,00DC0004191900CB
2145,501,8,0E850E9502C602F6
2161,600,1,01
2177,200,1,4A
2192,6B1,8,00DC0004191900CB
2240,123,2,ABCD
2276,501,8,0E8B0E9402B302CA
2306,6B1,8,00DC0004191900CB
2368,490,3,900000
2384,501,8,0E820E94029A02C4
2416,,,
2432,200,1,4A
2447,123,2,ABCD
2480,490,3,900000
2512,501,8,0E840E9402A802C0
2576,490,3,900000
2624,6B1,8,00DC0004191900CB
2640,123,2,ABCD
2678,600,1,01
2719,6B1,8,00DC0004191900CB
2751,501,8,0E880E8702A002AD
2767,490,3,900000
2831,6B1,8,00DC0004191900CB
2848,123,2,ABCD
2863,501,8,0E7A0E90029E02AA
2879,490,3,900000
2927,200,1,4A
2975,490,3,900000
2991,501,8,0E880E94029E029A
3040,6B1,8,00DC0004191900CB
3072,490,3,900000
3104,501,8,0E900E94029F02A2
3135,6B1,8,00DC0004191900CB
3167,600,1,01
3231,501,8,0E910E96029902A2
3247,6B1,8,00DC0004191900CB
3279,490,3,900000
3344,6B1,8,00DC0004191900CB
3375,490,3,900000
3423,200,1,4A
3439,123,2,ABCD
3455,6B1,8,00DC0004191900CB
3470,501,8,0E910E9402A002A2
3551,6B1,8,00DC0004191900CB
3566,490,3,900000
3583,210,3,900000
3647,123,2,ABCD
3662,6B1,8,00DC0004191900CB
3678,200,1,4A
3710,501,8,0E910E9402A702CB
3758,6B1,8,00DC0004191900CB
3774,490,3,900000
3822,501,8,0E900EA002AE02DE
3838,123,2,ABCD
3870,6B1,8,00DC0004191900CB
3918,200,1,4A
3951,501,8,0E8C0E9402D8030F
3967,6B1,8,00DC0004191900CB
3982,490,3,900000
4046,123,2,ABCD
4061,501,8,0E880E9D02F60342
4078,6B1,8,00DC0004191900CB
4185,600,1,01
4249,123,2,ABCD
4281,490,3,900000
4312,501,8,0E890EA0033903A0
4378,490,3,900000
4424,200,1,4A
4440,123,2,ABCD
4472,490,3,900000
4488,6B1,8,00DC0004191900CB
4553,501,8,0E840E9C03340396
4568,490,3,900000
4587,6B1,8,00DC0004191900CB
4650,123,2,ABCD
4663,501,8,0E810E94032B0393
4680,200,1,4A
4696,6B1,8,00DC0004191900CB
4775,490,3,900000
4792,501,8,0E850E95034203A1
4840,123,2,ABCD
4871,490,3,900000
4904,6B1,8,00DC0004191900CB
4919,200,1,4A
4967,490,3,900000
5000,6B1,8,00DC0004191900CB
5031,501,8,0E920E9C04190498
5047,123,2,ABCD
5079,490,3,900000
5112,6B1,8,00DC0004191900CB
5144,501,8,0E930EAC046704F3
5160,600,1,01
5175,200,1,4A
5208,6B1,8,00DC0004191900CB
5239,123,2,ABCD
5271,501,8,0E8A0EA404740513
5319,6B1,8,00DC0004191900CB
5368,490,3,900000
5383,501,8,0E880EA00410049A
5416,200,1,4A
5447,123,2,ABCD
5479,490,3,900000
5511,501,8,0E830EA4036603D8
5527,6B1,8,00DC0004191900CB
5574,490,3,900000
5638,501,8,0E6B0EA402FD034E
5639,6B1,8,00DC0004191900CB
5670,600,1,01
5735,6B1,8,00DC0004191900CB
5751,501,8,0E1F0E600299029E
5767,490,3,900000
5847,6B1,8,00DC0004191900CB
5863,501,8,0E140E4402A0029E
5878,490,3,900000
5926,200,1,0A
5942,6B1,8,00DC0004191900CB
5974,490,3,900000
5990,501,8,0DB00E00029E029C
6054,123,2,ABCD
6071,490,3,900000
6102,501,8,0C5B0C9002A0029E
6150,6B1,8,00DC0004191900CB
6166,600,1,01
6234,501,8,09B20A00029D02AE
6246,123,2,ABCD
6262,6B1,8,00DC0004191900CB
6277,490,3,90D745
6342,501,8,087E08CC02A402B0
6358,6B1,8,00DC0004191900CB
6373,490,3,90CF5D
6422,200,1,0A
6454,123,2,ABCD
6482,6B1,8,00DC0004191900CB
6562,6B1,8,00DC0004191900CB
6577,490,3,90A742
6594,501,8,08FD096002A6029E
6641,123,2,ABCD
6659,600,1,01
6682,6B1,8,00DC0001191900C8
6713,501,8,05D506AC02A002AA
6778,490,3,90FE7F
6826,501,8,05B906E802A702A8
6841,123,2,ABCD
6874,490,3,90FE7F
6921,200,1,1A
6953,501,8,0542068402A0029B
6969,490,3,90FE7F
6986,6B1,8,00DC0000191900C7
7048,123,2,ABCD
7065,501,8,0958098102A102A8
7081,210,3,90474E
7161,600,1,01
7177,200,1,0A
7193,501,8,0DF00E3402A602AA
7241,123,2,ABCD
7273,490,3,900000
7289,6B1,8,00DC0000191900C7
7304,501,8,0C640C9402AD02AC
7368,490,3,904F11
7401,6B1,8,00DC0000191900C7
7416,200,1,0A
7433,501,8,069F071102A602A2
7449,123,2,ABCD
7481,490,3,90FE7F
7497,6B1,8,00DC0000191900C7
