4-30-2018-9:17:19162,t60,0,10
292,600,1,01
799,600,1,01
1119,123,2,ABCD
1183,501,8,0F990ED0021C021C
1295,600,1,01
1790,600,1,01
2286,600,1,01
2799,600,1,01
3004,123,2,ABCD
3022,501,8,0F950ED001EE01C8
3293,600,1,01
3788,600,1,01
4299,600,1,01
4619,123,2,ABCD
4650,123,2,ABCD
4668,501,8,0FA00ED00234022A
4779,501,8,0F9A0ED00228022C
4794,600,1,01
4842,123,2,ABCD
5292,600,1,01
5396,123,2,ABCD
5444,123,2,ABCD
5507,501,8,0F950ED00232022B
5619,501,8,0F940ED0022E0228
5651,123,2,ABCD
5748,501,8,0F990ED40232022B
5798,600,1,01
5845,123,2,ABCD
5875,501,8,0F980ED0022C0228
5987,501,8,0F980ED00229022B
6050,123,2,ABCD
6099,501,8,0F940ED402310228
6226,501,8,0F9A0ED002310230
6243,123,2,ABCD
6291,600,1,01
6354,501,8,0F9A0ED00234022E
6451,123,2,ABCD
6466,501,8,0F980ED002280223
6594,501,8,0F950ED402310228
6642,123,2,ABCD
6706,501,8,0F980ED0022C0230
6786,600,1,01
6834,501,8,0F9F0ED0022E022B
6850,123,2,ABCD
6946,501,8,0F940ED00231022A
7042,123,2,ABCD
7073,501,8,0F990ED00231022C
7185,501,8,0F980ED00234022B
7249,123,2,ABCD
7297,600,1,01
7314,501,8,0F980ED002280224
7425,501,8,0F960ED0022D022E
7441,123,2,ABCD
7553,501,8,0F990ED4022D022C
7649,123,2,ABCD
7665,501,8,0F9B0ED002310228
7792,501,8,0F9B0ED0022F0229
7846,123,2,ABCD
7905,501,8,0F980ED0022C0226
8033,501,8,0F9D0ED00231022E
8048,123,2,ABCD
8145,501,8,0F980ED0022A022A
8241,123,2,ABCD
8275,501,8,0F980ED0022C0232
8291,600,1,01
8385,501,8,0F9A0ED4020401EA
8447,123,2,ABCD
8512,501,8,0F980ED0022D022E
8624,501,8,0F930ED40230022C
8641,123,2,ABCD
8751,501,8,0F980ED002300230
8784,600,1,01
8848,123,2,ABCD
8864,501,8,0F940ED0022D022E
8992,501,8,0FA00ED4022D022A
9040,123,2,ABCD
9104,501,8,0F980ED00230022A
9231,501,8,0F9F0ED0022F0228
9247,123,2,ABCD
9295,600,1,01
9343,501,8,0F950ECC022F0230
9439,123,2,ABCD
9470,501,8,0FA00ED0022F022C
9583,501,8,0F980ED0022D0226
9647,123,2,ABCD
9711,501,8,0F990ED0022D0232
9790,600,1,01
9822,501,8,0F940ED0022E022C
9839,123,2,ABCD
9951,501,8,0F940ED00234022C
10047,123,2,ABCD
10063,501,8,0F940ED002310225
10190,501,8,0F960ED0022F0230
10238,123,2,ABCD
10286,600,1,01
10302,501,8,0F980ED002250226
10431,501,8,0F940ED0022E022E
10446,123,2,ABCD
10542,501,8,0F980ED00232022E
10654,123,2,ABCD
10670,501,8,0F960ED0022A022C
10782,501,8,0F930ED00226022F
10845,123,2,ABCD
10909,501,8,0F960ED0022F0230
11021,501,8,0F980ED0022E022C
11038,123,2,ABCD
11149,501,8,0F940ED4022A022C
11244,123,2,ABCD
11261,501,8,0F940ED0022F022C
11293,600,1,01
11389,501,8,0F950ED002280229
11452,123,2,ABCD
11500,501,8,0F950ED00228022C
11629,501,8,0F950ED0022E022A
11645,123,2,ABCD
11741,501,8,0F980ED00227022E
11789,600,1,01
11853,123,2,ABCD
11868,501,8,0F940ED0022F0234
11980,501,8,0F930ED0022B0230
12044,123,2,ABCD
12109,501,8,0FA00ED2022D0228
12220,501,8,0FA00ED00231022B
12252,123,2,ABCD
12284,600,1,01
12348,501,8,0F930ED4022B0230
12444,123,2,ABCD
12461,501,8,0F980ED0022F022E
12588,501,8,0F950ED402250220
12659,123,2,ABCD
12701,501,8,0F980ED0022B022C
12779,600,1,01
12827,501,8,0F980ED0022E022B
12843,123,2,ABCD
12939,501,8,0F980ED002300230
13051,123,2,ABCD
13067,501,8,0F9B0ED0022E0228
13178,501,8,0F990ED00234022A
13242,123,2,ABCD
13290,600,1,01
13307,501,8,0F930ED0022A022A
13419,501,8,0F980ED0022C0233
13450,123,2,ABCD
13549,501,8,0F930ED0022A022E
13642,123,2,ABCD
13658,501,8,0F940ED00231022A
13785,501,8,0F950ED002300226
13850,123,2,ABCD
13914,501,8,0F9B0ED002340228
14026,501,8,0F980ED00232022A
14041,123,2,ABCD
14138,501,8,0F980ED0022C0229
14249,123,2,ABCD
14265,501,8,0F980ED00229022E
14282,600,1,01
