4-30-2018-9:17:8162,501,8,0F950ED402A2029F
183,123,2,ABCD
189,490,3,900000
268,600,1,01
284,501,8,0F830ED402A602A3
301,601,4,00010000
380,123,2,ABCD
397,490,3,900000
493,490,3,900000
525,501,8,0F970ED002A402A4
541,200,1,48
572,123,2,ABCD
588,490,3,900000
636,501,8,0F890ECC02AA0292
700,490,3,900000
763,501,8,0FA80ED0029D0290
780,600,1,01
796,200,1,48
876,501,8,0F980ED002B202A2
893,490,3,900000
972,123,2,ABCD
988,490,3,900000
1004,501,8,0FE00ED002A2029E
1036,200,1,48
1100,490,3,900000
1117,501,8,0FA00EDC02A502A2
1179,123,2,ABCD
1195,490,3,900000
1243,501,8,0FB50ED602A3029C
1275,600,1,01
1291,200,1,48
1356,501,8,0F9F0ED002AC0298
1372,123,2,ABCD
1387,490,3,900000
1483,501,8,0FA20ED002A9029F
1500,490,3,900000
1548,200,1,48
1580,123,2,ABCD
1595,490,3,900000
1691,490,3,900000
1723,501,8,0F950ED002A0029A
1771,600,1,01
1787,200,1,48
1835,501,8,0F990ED002A502AB
1898,490,3,900000
1963,501,8,0F980ED002A502A2
1979,123,2,ABCD
1996,490,3,900000
2043,200,1,48
2075,501,8,0F980ED402A202A2
2091,490,3,900000
2171,123,2,ABCD
2187,490,3,900000
2203,501,8,0F910ED002A502A2
2266,600,1,01
2299,200,1,48
2314,501,8,0F940ED402A9029B
2378,123,2,ABCD
2395,490,3,900000
2443,501,8,0F980ED002A702A4
2491,490,3,900000
2538,200,1,48
2555,501,8,0F980ED002A2029F
2571,123,2,ABCD
2588,490,3,900000
2682,501,8,0F960ED002A902A3
2698,490,3,900000
2778,600,1,01
2806,200,1,48
2885,490,3,900000
2917,501,8,0F950ED002A802A4
2981,123,2,ABCD
2997,490,3,900000
3045,501,8,0F930ED002A502BA
3093,490,3,900000
3157,501,8,0F700ED002A502A3
3172,123,2,ABCD
3188,490,3,900000
3270,600,1,01
3285,200,1,48
3301,490,3,900000
3380,123,2,ABCD
3396,490,3,900000
